,Period,Org Code,Parent Org,Org name,A&E attendances Type 1,A&E attendances Type 2,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,Attendances over 4hrs Type 1,Attendances over 4hrs Type 2,Attendances over 4hrs Other Department,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,Patients who have waited 12+ hrs from DTA to admission,Emergency admissions via A&E - Type 1,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,Other emergency admissions
24,MSitAE-MARCH-2024,RA9,NHS ENGLAND SOUTH WEST ,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,6306.0,0.0,3142.0,0.0,0.0,0.0,3236.0,0.0,11.0,0.0,0.0,0.0,332.0,100.0,1962.0,0.0,0.0,1147.0
25,MSitAE-MARCH-2024,RJ8,NHS ENGLAND SOUTH WEST ,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,63.0
26,MSitAE-MARCH-2024,RJC,NHS ENGLAND MIDLANDS ,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,8138.0,0.0,320.0,16.0,0.0,0.0,1508.0,0.0,0.0,0.0,0.0,0.0,251.0,5.0,2394.0,0.0,0.0,650.0
27,MSitAE-MARCH-2024,RPC,NHS ENGLAND SOUTH EAST ,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,0.0,0.0,1463.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,495.0
28,MSitAE-MARCH-2024,RV9,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HUMBER TEACHING NHS FOUNDATION TRUST,0.0,0.0,1132.0,0.0,0.0,29.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,MSitAE-MARCH-2024,RWA,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,9643.0,0.0,4431.0,0.0,0.0,0.0,5261.0,0.0,205.0,0.0,0.0,0.0,982.0,424.0,3472.0,0.0,0.0,1742.0
30,MSitAE-MARCH-2024,RXG,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0
31,MSitAE-MARCH-2024,Y03007,NHS ENGLAND MIDLANDS ,ERDINGTON GP HEALTH & WELLBEING WIC,0.0,0.0,0.0,0.0,0.0,2181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,MSitAE-MARCH-2024,AAH,NHS ENGLAND SOUTH WEST ,TETBURY HOSPITAL TRUST LTD,0.0,0.0,532.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,MSitAE-MARCH-2024,AQN04,NHS ENGLAND SOUTH EAST ,PHL LYMINGTON UTC,0.0,0.0,3015.0,0.0,0.0,25.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,MSitAE-MARCH-2024,C82009,NHS ENGLAND MIDLANDS ,MARKET HARBOROUGH MED.CTR,0.0,0.0,342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,MSitAE-MARCH-2024,NR3,NHS ENGLAND MIDLANDS ,NOTTINGHAM CITYCARE PARTNERSHIP,0.0,0.0,5828.0,0.0,0.0,280.0,0.0,0.0,1426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,MSitAE-MARCH-2024,RK9,NHS ENGLAND SOUTH WEST ,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,8795.0,131.0,4712.0,0.0,0.0,0.0,5764.0,0.0,521.0,0.0,0.0,0.0,667.0,670.0,2693.0,0.0,0.0,1232.0
37,MSitAE-MARCH-2024,RLQ,NHS ENGLAND MIDLANDS ,WYE VALLEY NHS TRUST,6221.0,1229.0,0.0,156.0,0.0,0.0,2580.0,0.0,0.0,44.0,0.0,0.0,429.0,247.0,2104.0,0.0,0.0,693.0
38,MSitAE-MARCH-2024,RNS,NHS ENGLAND MIDLANDS ,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,12125.0,575.0,2641.0,39.0,0.0,4.0,3940.0,14.0,98.0,12.0,0.0,0.0,302.0,1005.0,2000.0,0.0,0.0,1256.0
39,MSitAE-MARCH-2024,RQ3,NHS ENGLAND MIDLANDS ,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,5690.0,0.0,0.0,0.0,0.0,0.0,1458.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1093.0,0.0,0.0,219.0
40,MSitAE-MARCH-2024,RRV,NHS ENGLAND LONDON,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,13018.0,0.0,0.0,484.0,0.0,0.0,4102.0,0.0,0.0,0.0,0.0,0.0,409.0,89.0,1436.0,0.0,0.0,272.0
41,MSitAE-MARCH-2024,Y02147,NHS ENGLAND LONDON,URGENT CARE CENTRE (QMS),0.0,0.0,8208.0,0.0,0.0,619.0,0.0,0.0,623.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
42,MSitAE-MARCH-2024,NTP11,NHS ENGLAND SOUTH EAST ,PRACTICE PLUS GROUP HOSPITAL - SOUTHAMPTON,0.0,0.0,5658.0,0.0,0.0,0.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,MSitAE-MARCH-2024,RDY,NHS ENGLAND SOUTH WEST ,DORSET HEALTHCARE UNIVERSITY NHS FOUNDATION TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0
44,MSitAE-MARCH-2024,RFF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,8546.0,0.0,0.0,451.0,0.0,0.0,2356.0,0.0,0.0,0.0,0.0,0.0,327.0,0.0,3034.0,0.0,0.0,592.0
45,MSitAE-MARCH-2024,RR7,NHS ENGLAND NORTH EAST AND YORKSHIRE ,GATESHEAD HEALTH NHS FOUNDATION TRUST,5955.0,0.0,3933.0,40.0,0.0,40.0,2709.0,0.0,43.0,21.0,0.0,0.0,882.0,0.0,1852.0,0.0,0.0,803.0
46,MSitAE-MARCH-2024,RYR,NHS ENGLAND SOUTH EAST ,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,23135.0,1537.0,2908.0,1352.0,0.0,630.0,10476.0,69.0,174.0,487.0,0.0,14.0,1753.0,1141.0,8354.0,37.0,27.0,1469.0
47,MSitAE-MARCH-2024,AXG,NHS ENGLAND SOUTH WEST ,WILTSHIRE HEALTH & CARE,0.0,0.0,2373.0,0.0,0.0,38.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,MSitAE-MARCH-2024,RCD,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,4955.0,0.0,731.0,188.0,0.0,19.0,1248.0,0.0,0.0,36.0,0.0,0.0,332.0,35.0,1344.0,0.0,0.0,491.0
49,MSitAE-MARCH-2024,RFR,NHS ENGLAND NORTH EAST AND YORKSHIRE ,THE ROTHERHAM NHS FOUNDATION TRUST,8946.0,0.0,0.0,0.0,0.0,0.0,3320.0,0.0,0.0,0.0,0.0,0.0,814.0,7.0,3109.0,0.0,0.0,541.0
50,MSitAE-MARCH-2024,RJR,NHS ENGLAND NORTH WEST ,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,6341.0,0.0,986.0,0.0,0.0,0.0,3367.0,0.0,126.0,0.0,0.0,0.0,339.0,631.0,1761.0,0.0,0.0,1257.0
51,MSitAE-MARCH-2024,RNU,NHS ENGLAND SOUTH EAST ,OXFORD HEALTH NHS FOUNDATION TRUST,0.0,0.0,3553.0,0.0,0.0,0.0,0.0,0.0,476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,MSitAE-MARCH-2024,Y00751,NHS ENGLAND SOUTH EAST ,EAST BERKS PRIMARY CARE OOH(WAM),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,MSitAE-MARCH-2024,NTPAD,NHS ENGLAND SOUTH EAST ,PRACTICE PLUS GROUP SURGICAL CENTRE - ST MARYS PORTSMOUTH,0.0,0.0,6016.0,0.0,0.0,259.0,0.0,0.0,254.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
54,MSitAE-MARCH-2024,R1F,NHS ENGLAND SOUTH EAST ,ISLE OF WIGHT NHS TRUST,4273.0,0.0,1937.0,31.0,0.0,26.0,2002.0,0.0,0.0,17.0,0.0,0.0,265.0,140.0,1111.0,0.0,0.0,310.0
55,MSitAE-MARCH-2024,RBS,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,6895.0,0.0,0.0,0.0,0.0,0.0,1073.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1038.0,0.0,0.0,366.0
56,MSitAE-MARCH-2024,REM,NHS ENGLAND NORTH WEST ,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,17661.0,197.0,8835.0,430.0,0.0,0.0,7801.0,0.0,576.0,59.0,0.0,0.0,2226.0,1390.0,5318.0,0.0,0.0,2577.0
57,MSitAE-MARCH-2024,RTP,NHS ENGLAND SOUTH EAST ,SURREY AND SUSSEX HEALTHCARE NHS TRUST,10912.0,0.0,0.0,0.0,0.0,0.0,3341.0,0.0,0.0,0.0,0.0,0.0,579.0,491.0,3179.0,0.0,0.0,883.0
58,MSitAE-MARCH-2024,RTQ,NHS ENGLAND SOUTH WEST ,GLOUCESTERSHIRE HEALTH AND CARE NHS FOUNDATION TRUST,0.0,0.0,6610.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0
59,MSitAE-MARCH-2024,RTX,NHS ENGLAND NORTH WEST ,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,8260.0,0.0,4419.0,122.0,0.0,605.0,3216.0,0.0,199.0,31.0,0.0,36.0,633.0,497.0,3073.0,0.0,45.0,971.0
60,MSitAE-MARCH-2024,RW4,NHS ENGLAND NORTH WEST ,MERSEY CARE NHS FOUNDATION TRUST,0.0,0.0,12633.0,0.0,0.0,0.0,0.0,0.0,1130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0
61,MSitAE-MARCH-2024,RXF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,MID YORKSHIRE TEACHING NHS TRUST,17595.0,116.0,6280.0,124.0,0.0,124.0,6696.0,0.0,431.0,9.0,0.0,0.0,2334.0,139.0,3637.0,0.0,171.0,980.0
62,MSitAE-MARCH-2024,Y03218,NHS ENGLAND LONDON,THE PINN UNREGISTERED WIC,0.0,0.0,1060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,MSitAE-MARCH-2024,NDJ,NHS ENGLAND SOUTH EAST ,FIRST COMMUNITY HEALTH AND CARE CIC,0.0,0.0,2301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,MSitAE-MARCH-2024,NV693,NHS ENGLAND NORTH WEST ,ROSSENDALE MIU & OOH,0.0,0.0,934.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,MSitAE-MARCH-2024,R0B,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,12058.0,1268.0,6472.0,484.0,0.0,1525.0,5495.0,18.0,136.0,232.0,0.0,39.0,814.0,0.0,4584.0,19.0,0.0,1333.0
66,MSitAE-MARCH-2024,R0D,NHS ENGLAND SOUTH WEST ,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,13999.0,0.0,4423.0,0.0,0.0,0.0,5492.0,0.0,0.0,0.0,0.0,0.0,968.0,189.0,4282.0,1.0,0.0,2287.0
67,MSitAE-MARCH-2024,R1K,NHS ENGLAND LONDON,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,14360.0,0.0,15664.0,0.0,0.0,0.0,6718.0,0.0,270.0,0.0,0.0,0.0,777.0,464.0,7268.0,0.0,0.0,401.0
68,MSitAE-MARCH-2024,RA7,NHS ENGLAND SOUTH WEST ,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,16646.0,2309.0,0.0,0.0,0.0,0.0,5786.0,76.0,0.0,0.0,0.0,0.0,1229.0,249.0,5849.0,10.0,0.0,1608.0
69,MSitAE-MARCH-2024,RAE,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,9550.0,876.0,3206.0,0.0,0.0,0.0,2363.0,0.0,0.0,0.0,0.0,0.0,698.0,31.0,2521.0,0.0,106.0,1497.0
70,MSitAE-MARCH-2024,RAX,NHS ENGLAND LONDON,KINGSTON HOSPITAL NHS FOUNDATION TRUST,7719.0,0.0,8619.0,0.0,0.0,0.0,3793.0,0.0,403.0,0.0,0.0,0.0,381.0,334.0,2209.0,0.0,170.0,646.0
71,MSitAE-MARCH-2024,RDU,NHS ENGLAND SOUTH EAST ,FRIMLEY HEALTH NHS FOUNDATION TRUST,23412.0,993.0,11851.0,0.0,0.0,0.0,8625.0,0.0,0.0,0.0,0.0,0.0,2234.0,218.0,6440.0,0.0,0.0,294.0
72,MSitAE-MARCH-2024,RF4,NHS ENGLAND LONDON,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",13244.0,2485.0,14761.0,0.0,0.0,0.0,6042.0,423.0,374.0,0.0,0.0,0.0,737.0,715.0,7810.0,0.0,0.0,461.0
73,MSitAE-MARCH-2024,RGN,NHS ENGLAND EAST OF ENGLAND ,NORTH WEST ANGLIA NHS FOUNDATION TRUST,13327.0,0.0,4950.0,609.0,0.0,590.0,5455.0,0.0,552.0,143.0,0.0,53.0,586.0,614.0,3354.0,0.0,154.0,1727.0
74,MSitAE-MARCH-2024,RJE,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,13499.0,446.0,8446.0,558.0,0.0,361.0,6665.0,0.0,65.0,200.0,0.0,6.0,789.0,1037.0,6019.0,0.0,0.0,2944.0
75,MSitAE-MARCH-2024,RJN,NHS ENGLAND NORTH WEST ,EAST CHESHIRE NHS TRUST,4495.0,0.0,0.0,43.0,0.0,23.0,2119.0,0.0,0.0,0.0,0.0,0.0,248.0,280.0,929.0,0.0,0.0,196.0
76,MSitAE-MARCH-2024,RLT,NHS ENGLAND MIDLANDS ,GEORGE ELIOT HOSPITAL NHS TRUST,6916.0,0.0,1822.0,0.0,0.0,0.0,1967.0,0.0,20.0,0.0,0.0,0.0,544.0,247.0,1010.0,0.0,0.0,30.0
77,MSitAE-MARCH-2024,RN7,NHS ENGLAND SOUTH EAST ,DARTFORD AND GRAVESHAM NHS TRUST,12064.0,0.0,3698.0,0.0,0.0,0.0,4262.0,0.0,34.0,0.0,0.0,0.0,1108.0,88.0,3074.0,0.0,0.0,459.0
78,MSitAE-MARCH-2024,RNQ,NHS ENGLAND MIDLANDS ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,10150.0,0.0,2323.0,502.0,0.0,0.0,3556.0,0.0,68.0,0.0,0.0,0.0,1437.0,0.0,2100.0,0.0,0.0,191.0
79,MSitAE-MARCH-2024,RNZ,NHS ENGLAND SOUTH WEST ,SALISBURY NHS FOUNDATION TRUST,4663.0,294.0,2148.0,306.0,0.0,0.0,1754.0,0.0,0.0,109.0,0.0,0.0,469.0,0.0,1457.0,0.0,0.0,936.0
80,MSitAE-MARCH-2024,RP6,NHS ENGLAND LONDON,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,0.0,5700.0,0.0,0.0,0.0,0.0,0.0,268.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,190.0
81,MSitAE-MARCH-2024,RQM,NHS ENGLAND LONDON,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,20106.0,0.0,6588.0,736.0,0.0,0.0,4714.0,0.0,193.0,0.0,0.0,0.0,943.0,41.0,2788.0,0.0,0.0,378.0
82,MSitAE-MARCH-2024,RQW,NHS ENGLAND EAST OF ENGLAND ,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,8471.0,0.0,2280.0,0.0,0.0,912.0,4024.0,0.0,0.0,0.0,0.0,0.0,433.0,101.0,2189.0,0.0,0.0,406.0
83,MSitAE-MARCH-2024,RTD,NHS ENGLAND NORTH EAST AND YORKSHIRE ,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,12923.0,1527.0,5490.0,0.0,0.0,918.0,5559.0,107.0,0.0,0.0,0.0,0.0,601.0,32.0,3791.0,23.0,0.0,2784.0
84,MSitAE-MARCH-2024,RWF,NHS ENGLAND SOUTH EAST ,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,19264.0,0.0,2329.0,713.0,0.0,158.0,2974.0,0.0,16.0,73.0,0.0,3.0,687.0,12.0,5478.0,0.0,0.0,932.0
85,MSitAE-MARCH-2024,RWJ,NHS ENGLAND NORTH WEST ,STOCKPORT NHS FOUNDATION TRUST,9038.0,0.0,0.0,615.0,0.0,0.0,3565.0,0.0,0.0,193.0,0.0,0.0,856.0,349.0,2624.0,0.0,0.0,794.0
86,MSitAE-MARCH-2024,RWP,NHS ENGLAND MIDLANDS ,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,12885.0,0.0,5474.0,180.0,0.0,0.0,5864.0,0.0,12.0,60.0,0.0,0.0,1144.0,301.0,3843.0,0.0,0.0,1505.0
87,MSitAE-MARCH-2024,RXQ,NHS ENGLAND SOUTH EAST ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,10269.0,1223.0,3942.0,1.0,0.0,0.0,3806.0,0.0,110.0,1.0,0.0,0.0,327.0,149.0,4821.0,844.0,0.0,996.0
88,MSitAE-MARCH-2024,RXR,NHS ENGLAND NORTH WEST ,EAST LANCASHIRE HOSPITALS NHS TRUST,12894.0,0.0,10058.0,0.0,0.0,0.0,4442.0,0.0,617.0,0.0,0.0,0.0,388.0,1192.0,3313.0,0.0,97.0,1858.0
89,MSitAE-MARCH-2024,RY4,NHS ENGLAND EAST OF ENGLAND ,HERTFORDSHIRE COMMUNITY NHS TRUST,0.0,0.0,941.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,MSitAE-MARCH-2024,RY7,NHS ENGLAND NORTH WEST ,WIRRAL COMMUNITY HEALTH AND CARE NHS FOUNDATION TRUST,0.0,0.0,4618.0,0.0,0.0,0.0,0.0,0.0,293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,MSitAE-MARCH-2024,NNJ07,NHS ENGLAND MIDLANDS ,LOUGHBOROUGH URGENT CARE CENTRE,0.0,0.0,5920.0,0.0,0.0,641.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
92,MSitAE-MARCH-2024,NNJ0H,NHS ENGLAND MIDLANDS ,LLR EA - THE MERLYN VAZ HEALTH & SOCIAL CARE CENTRE,0.0,0.0,205.0,0.0,0.0,2263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
